自治体コード,市区町村名,4指標版総合スコア,8指標版総合スコア,差分(8指標版-4指標版),8指標版_使用指標数,8指標版_政治分野,8指標版_行政分野,8指標版_地域分野,8指標版_経済分野,①議員,②管理職,③審議会,④男性育休,⑤首長,⑥防災,⑦自治会長,⑧給与
22100,静岡市,0.28,0.25,-0.03,8,0.04,0.24,0.04,0.7,0.07,0.18,0.45,0.48,0.0,0.13,0.04,0.76
22130,浜松市,0.39,0.29,-0.1,8,0.26,0.24,0.01,0.66,0.45,0.11,0.55,0.41,0.0,0.1,0.01,0.74
22203,沼津市,0.49,0.31,-0.18,8,0.13,0.28,0.04,0.78,0.22,0.18,0.47,0.94,0.0,0.22,0.04,0.73
22205,熱海市,0.09,0.2,0.11,8,0.04,0.16,0.04,0.56,0.07,0.17,0.25,0.0,0.0,0.08,0.04,0.73
22206,三島市,0.49,0.32,-0.17,8,0.27,0.27,0.04,0.71,0.47,0.25,0.47,0.64,0.0,0.13,0.04,0.73
22207,富士宮市,0.27,0.24,-0.03,8,0.13,0.22,0.01,0.61,0.22,0.17,0.37,0.31,0.0,0.14,0.01,0.71
22208,伊東市,0.31,0.31,0.0,8,0.39,0.21,0.04,0.61,0.43,0.13,0.3,0.29,0.33,0.21,0.04,0.71
22209,島田市,0.46,0.4,-0.06,8,0.63,0.27,0.02,0.69,0.36,0.34,0.44,0.63,1.0,0.07,0.02,0.7
22210,富士市,0.41,0.28,-0.13,8,0.16,0.36,0.03,0.57,0.28,0.3,0.59,0.52,0.0,0.22,0.03,0.59
22211,磐田市,0.3,0.29,-0.01,8,0.29,0.22,0.02,0.64,0.14,0.22,0.31,0.51,0.5,0.14,0.02,0.68
22212,焼津市,0.52,0.28,-0.24,8,0.14,0.22,0.0,0.76,0.23,0.2,0.43,1.0,0.0,0.07,0.0,0.69
22213,掛川市,0.46,0.37,-0.09,8,0.39,0.49,0.0,0.58,0.43,0.17,0.69,0.53,0.33,0.6,0.0,0.6
22214,藤枝市,0.34,0.24,-0.1,8,0.14,0.22,0.02,0.59,0.23,0.24,0.38,0.48,0.0,0.07,0.02,0.62
22215,御殿場市,0.28,0.26,-0.02,8,0.2,0.21,0.02,0.63,0.1,0.18,0.37,0.47,0.33,0.1,0.02,0.67
22216,袋井市,0.44,0.3,-0.14,8,0.11,0.32,0.02,0.75,0.19,0.2,0.74,0.67,0.0,0.1,0.02,0.78
22219,下田市,0.17,0.17,0.0,8,0.05,0.11,0.0,0.53,0.09,0.1,0.22,0.25,0.0,0.03,0.0,0.62
22220,裾野市,0.45,0.27,-0.18,8,0.15,0.2,0.08,0.66,0.27,0.11,0.45,0.8,0.0,0.07,0.08,0.61
22221,湖西市,0.32,0.18,-0.14,7,0.29,0.18,0.02,0.23,0.5,0.1,0.35,0.23,0.0,0.1,0.02,
22222,伊豆市,0.22,0.25,0.03,8,0.16,0.1,0.01,0.72,0.27,0.06,0.28,0.22,0.0,0.0,0.01,0.87
22223,御前崎市,0.3,0.26,-0.04,8,0.0,0.25,0.0,0.79,0.0,0.35,0.37,0.56,0.0,0.07,0.0,0.86
22224,菊川市,0.36,0.26,-0.1,8,0.18,0.25,0.02,0.6,0.31,0.46,0.3,0.4,0.0,0.04,0.02,0.66
22225,伊豆の国市,0.47,0.28,-0.19,8,0.32,0.21,0.0,0.61,0.55,0.18,0.41,0.57,0.0,0.07,0.0,0.62
22226,牧之原市,0.18,0.18,0.0,8,0.09,0.17,0.0,0.47,0.15,0.23,0.32,0.12,0.0,0.0,0.0,0.58
22301,東伊豆町,0.12,0.24,0.12,8,0.12,0.16,0.0,0.68,0.2,0.08,0.26,0.0,0.0,0.16,0.0,0.89
22302,河津町,0.08,0.22,0.14,8,0.0,0.16,0.0,0.72,0.0,0.3,0.15,0.0,0.0,0.06,0.0,0.94
22304,南伊豆町,0.06,0.16,0.1,8,0.0,0.15,0.0,0.5,0.0,0.18,0.2,0.0,0.0,0.09,0.0,0.65
22305,松崎町,0.09,0.04,-0.05,7,0.08,0.08,0.0,0.0,0.14,0.0,0.29,0.0,0.0,0.0,0.0,
22306,西伊豆町,0.15,0.07,-0.08,7,0.06,0.22,0.0,0.0,0.11,0.27,0.38,0.0,0.0,0.06,0.0,
22325,函南町,0.18,0.22,0.04,8,0.08,0.27,0.0,0.51,0.14,0.39,0.4,0.0,0.0,0.05,0.0,0.67
22341,清水町,0.37,0.22,-0.15,7,0.26,0.29,0.0,0.33,0.45,0.06,0.64,0.33,0.0,0.2,0.0,
22342,長泉町,0.48,0.25,-0.23,8,0.09,0.19,0.05,0.67,0.15,0.04,0.54,1.0,0.0,0.04,0.05,0.57
22344,小山町,0.37,0.28,-0.09,8,0.11,0.17,0.03,0.81,0.18,0.08,0.3,0.75,0.0,0.15,0.03,0.82
22424,吉田町,0.26,0.28,0.02,8,0.19,0.36,0.0,0.56,0.33,0.58,0.31,0.0,0.0,0.21,0.0,0.73
22429,川根本町,0.13,0.06,-0.07,7,0.13,0.1,0.0,0.0,0.22,0.07,0.26,0.0,0.0,0.0,0.0,
22461,森町,0.17,0.24,0.07,8,0.12,0.26,0.0,0.6,0.2,0.24,0.38,0.0,0.0,0.18,0.0,0.79
